URL,ImageURLs,Name,Processor,Screen,InternalMemory,TotalStorage,Weight,BatteryCells,PointingDevice
https://www.laptoparena.net/alienware/notebook-alienware-15-r3-z569984sin9-blacksilver-55679,https://www.laptoparena.net/images/tmb/Alienware_m15_A15OR_I716112860W10S_120_image_2.jpg,Alienware 15 R3,2.8,15.6,16,1256,3.49,4,Touchpad
https://www.laptoparena.net/alienware/notebook-alienware-17-r4-a17cfl_i781t60w10s_119-blacksilver-55686,https://www.laptoparena.net/images/tmb/Alienware_17_R4_A17CFL_I781T60W10S_119_image_3.jpg,Alienware 17 R4,2.8,17.3,16,1256,4.42,6,Touchpad
https://www.laptoparena.net/dell/laptop-dell-g3-3579-n434i3579101kr-black-white-46238,https://www.laptoparena.net/images/tmb/DELL_G3_3579_N434I3579101KR_image_2.jpg,DELL G3 3579,2.2,15.6,8,1128,2.35,4,Touchpad
https://www.laptoparena.net/dell/laptop-dell-g3-3579-n434i3579101kr-black-white-46238,https://www.laptoparena.net/images/tmb/DELL_G3_3579_N434I3579101KR_image_1.jpg,DELL G3 3579,2.2,15.6,16,1128,2.35,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g3-3779-x3cc8-black-8018,https://www.laptoparena.net/images/tmb/DELL_G3_3779_X3CC8_image_3.jpg,DELL G3 3779,2.3,17.3,8,1128,2.81,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g3-3779-x3cc8-black-8018,https://www.laptoparena.net/images/tmb/DELL_G3_3779_X3CC8_image_2.jpg,DELL G3 3779,2.2,17.3,16,2256,2.81,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g3-3779-x3cc8-black-8018,https://www.laptoparena.net/images/tmb/DELL_G3_3779_X3CC8_image_1.jpg,DELL G3 3779,2.2,17.3,16,1128,2.81,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g3-3779-x3cc8-black-8018,https://www.laptoparena.net/images/tmb/DELL_G3_3779_X3CC8_image_3.jpg,DELL G3 3779,2.2,17.3,16,1128,2.81,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g3-3779-x3cc8-black-8018,https://www.laptoparena.net/images/tmb/DELL_G3_3779_X3CC8_image_2.jpg,DELL G3 3779,2.2,17.3,8,1128,2.81,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g5-5587-5587-3535-black-5184,https://www.laptoparena.net/images/tmb/DELL_G5_5587_5587-3535_image_3.jpg,DELL G5 5587,2.2,15.6,8,1128,2.7,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g5-5587-5587-3535-black-5184,https://www.laptoparena.net/images/tmb/DELL_G5_5587_5587-3535_image_2.jpg,DELL G5 5587,2.2,15.6,16,1256,2.7,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g5-5590-gcvc0-black-15756,https://www.laptoparena.net/images/tmb/DELL_G5_5590_GCVC0_image_4.jpg,DELL G5 5590,2.3,15.6,8,1128,2.84,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g5-5590-gcvc0-black-15756,https://www.laptoparena.net/images/tmb/DELL_G5_5590_GCVC0_image_2.jpg,DELL G5 5590,2.2,15.6,8,1256,2.84,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g7-7790-7790-5842-black-grey-18402,https://www.laptoparena.net/images/tmb/DELL_G7_7790_7790-5842_image_4.jpg,DELL G7 7790,2.3,17.3,8,1128,3.3,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-g7-7790-7790-5842-black-grey-18402,https://www.laptoparena.net/images/tmb/DELL_G7_7790_7790-5842_image_3.jpg,DELL G7 7790,2.2,17.3,16,1256,3.3,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5480-5480-5354-black-platinum-silver-12982,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5480_5480-5354_image_4.jpg,DELL Inspiron 5480,1.8,14,8,1128,1.48,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5480-5480-5354-black-platinum-silver-12982,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5480_5480-5354_image_2.jpg,DELL Inspiron 5480,1.8,14,8,1128,1.48,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5580-5580-2140-platinum-silver-10707,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5580_5580-2140_image_3.jpg,DELL Inspiron 5580,1.8,15.6,8,1128,1.77,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5584-wg6n1-silver-14319,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5584_WG6N1_image_1.jpg,DELL Inspiron 5584,1.8,15.6,8,1128,2.05,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5770-5770-0364-silver-2128,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5770_5770-0364_image_2.jpg,DELL Inspiron 5770,1.6,17.3,8,1128,2.79,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5770-5770-0364-silver-2128,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5770_5770-0364_image_1.jpg,DELL Inspiron 5770,1.6,17.3,8,1128,2.79,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-5770-5770-0364-silver-2128,https://www.laptoparena.net/images/tmb/DELL_Inspiron_5770_5770-0364_image_2.jpg,DELL Inspiron 5770,1.8,17.3,8,1128,2.79,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-15-3593-cn33503-black-62652,https://www.laptoparena.net/images/tmb/DELL_Inspiron_15_3593_CN33503_image_3.jpg,DELL Inspiron 15,2.6,15.6,8,1000,2.59,6,Touchpad
https://www.laptoparena.net/dell/hybrid-2-in-1-dell-inspiron-7373-7373-0873-black-grey-4136,https://www.laptoparena.net/images/tmb/DELL_Inspiron_7373_7373-0873_image_4.jpg,DELL Inspiron 7373,1.6,13.3,8,256,1.45,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-inspiron-7570-7570-5032-platinum-silver-1497,https://www.laptoparena.net/images/tmb/DELL_Inspiron_7570_7570-5032_image_2.jpg,DELL Inspiron 7570,1.8,15.6,8,512,2,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-latitude-3590-0c70m-3840,https://www.laptoparena.net/images/tmb/DELL_Latitude_3590_bb19dd.jpg,DELL Latitude 3590,2.5,15.6,8,256,2.02,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-latitude-5491-n002l549114emea-black-7301,https://www.laptoparena.net/images/tmb/DELL_Latitude_5491_N002L549114EMEA_image_3.jpg,DELL Latitude 5491,2.5,14,8,256,1.65,4,Touchpad
https://www.laptoparena.net/dell/mobile-workstation-dell-precision-7540-3tr6h-black-19234,https://www.laptoparena.net/images/tmb/DELL_Precision_7540_3TR6H_image_1.jpg,DELL Precision 7540,2.3,15.6,16,512,2.52,6,DualPoint
https://www.laptoparena.net/dell/mobile-workstation-dell-precision-7730-5gcj7-black-7396,https://www.laptoparena.net/images/tmb/DELL_Precision_7730_5GCJ7_image_3.jpg,DELL Precision 7730,2.6,17.3,16,512,3.09,6,Touchpad
https://www.laptoparena.net/dell/mobile-workstation-dell-precision-7730-5gcj7-black-7396,https://www.laptoparena.net/images/tmb/DELL_Precision_7730_5GCJ7_image_1.jpg,DELL Precision 7730,2.6,17.3,16,512,3.09,6,Touchpad
https://www.laptoparena.net/dell/mobile-workstation-dell-precision-7730-5gcj7-black-7396,https://www.laptoparena.net/images/tmb/DELL_Precision_7730_5GCJ7_image_2.jpg,DELL Precision 7730,2.6,17.3,16,512,3.09,6,Touchpad
https://www.laptoparena.net/dell/mobile-workstation-dell-precision-7740-747vw-black-19321,https://www.laptoparena.net/images/tmb/DELL_Precision_7740_747VW_image_1.jpg,DELL Precision 7740,2.6,17.3,16,512,3.09,6,DualPoint
https://www.laptoparena.net/dell/notebook-dell-vostro-5481-n2208pvn5481btppl01_1905-black-silver-12415,https://www.laptoparena.net/images/tmb/DELL_Vostro_5481_N2208PVN5481BTPPL01_1905_image_3.jpg,DELL Vostro 5481,1.6,14,4,1128,1.55,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-vostro-5581-96c4d-black-silver-11765,https://www.laptoparena.net/images/tmb/DELL_Vostro_5000_d45358.jpg,DELL Vostro 5581,1.6,15.6,4,1128,1.9,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-vostro-5581-96c4d-black-silver-11765,https://www.laptoparena.net/images/tmb/DELL_Vostro_5000_d45358.jpg,DELL Vostro 5581,1.6,15.6,8,1128,1.9,3,Touchpad
https://www.laptoparena.net/dell/hybrid-(2-in-1)-dell-xps-9365-9365-1493-2106,https://www.laptoparena.net/images/tmb/DELL_XPS_13_9365_e9a7c9.jpg,DELL XPS 9365,1.3,13.3,8,256,1.24,4,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9560-15-9560-70126275-blacksilver-56328,https://www.laptoparena.net/images/tmb/DELL_XPS_9560_15-9560-70126275_image_2.jpg,DELL XPS 9560,2.8,15.6,16,512,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.9,15.6,32,1000,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.2,15.6,8,256,1.8,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.2,15.6,16,512,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.2,15.6,16,512,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.3,15.6,8,1128,1.8,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.9,15.6,32,2000,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.2,15.6,32,1000,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.3,15.6,8,1128,1.8,3,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.3,15.6,8,1128,1.8,6,Touchpad
https://www.laptoparena.net/dell/notebook-dell-xps-9570-fncwxb1652h-blackplatinumsilver-54971,https://www.laptoparena.net/images/tmb/DELL_XPS_9570_FNCWXB1652H_image_2.jpg,DELL XPS 9570,2.2,15.6,16,512,1.8,6,Touchpad
